shp_code,departure,city_from,city_to,country_from,country_to,cost_per_kg,gross_weight,carrier_charge,mode,carrier,duration
SHP263573,2019-03-14 11:57:42,Rotterdam,Kuala Lumpur,NL,MY,93.86,665.0,0.9,Ocean,Neele-Vat Logistics,29.34514
SHP90587,2019-06-13 09:32:47,Rotterdam,Kuala Lumpur,NL,MY,87.2343,180.0,0.9,Ocean,Neele-Vat Logistics,18.33877
SHP607571,2019-03-07 11:39:49,Rotterdam,Kuala Lumpur,NL,MY,92.45,97.0,0.9,Ocean,Neele-Vat Logistics,9.22095
SHP291606,2020-02-05 23:00:32,Rotterdam,Kuala Lumpur,NL,MY,92.9,1000.0,0.9,Ocean,Neele-Vat Logistics,13.94815
SHP774605,2020-01-04 17:02:40,Rotterdam,Kuala Lumpur,NL,MY,91.95,1406.0,0.9,Ocean,Neele-Vat Logistics,11.46296
SHP843577,2019-04-13 21:12:15,Rotterdam,Kuala Lumpur,NL,MY,89.34531738,1500.0,1.05,Air,Van den Bosch Transporten,5.35255
SHP381583,2019-05-18 17:20:39,Rotterdam,Kuala Lumpur,NL,MY,89.91,115.0,0.75,Air,NTG Air & Ocean,5.2182900000000005
SHP699578,2019-04-18 21:26:47,Rotterdam,Kuala Lumpur,NL,MY,90.1,1110.0,0.9,Ocean,Neele-Vat Logistics,13.29711
SHP339590,2019-07-05 17:03:20,Rotterdam,Kuala Lumpur,NL,MY,87.65,1489.2,0.9,Ocean,Neele-Vat Logistics,31.46759
SHP284606,2020-02-05 14:49:51,Rotterdam,Kuala Lumpur,NL,MY,93.15,105.0,0.75,Air,NTG Air & Ocean,5.27546
SHP195576,2019-04-04 11:01:48,Rotterdam,Kuala Lumpur,NL,MY,90.4,3110.0,0.9,Ocean,Neele-Vat Logistics,18.95694
SHP424598,2019-08-26 10:12:23,Rotterdam,Kuala Lumpur,NL,MY,85.85,906.0,0.9,Ocean,Neele-Vat Logistics,8.61377
SHP146604,2019-10-21 16:37:57,Rotterdam,Kuala Lumpur,NL,MY,89.81,2008.0,0.75,Air,NTG Air & Ocean,5.05509
SHP2938002,2019-09-17 09:48:46,Rotterdam,Manila,NL,PH,103.95,99.21,0.5625,Ocean,Van den Bosch Transporten,26.95428
SHP516582,2019-05-14 11:28:45,Rotterdam,Kuala Lumpur,NL,MY,90.9,381.0,1.05,Air,Van den Bosch Transporten,5.3049800000000005
SHP532606,2020-03-01 13:18:38,Rotterdam,Kuala Lumpur,NL,MY,92.2,400.0,1.05,Air,Van den Bosch Transporten,5.11806
SHP451606,2020-02-20 10:28:26,Rotterdam,Kuala Lumpur,NL,MY,91.98,500.0,0.75,Air,NTG Air & Ocean,5.02801
SHP651604,2019-11-13 15:46:36,Rotterdam,Kuala Lumpur,NL,MY,91.5,433.0,0.9,Ocean,Neele-Vat Logistics,30.93472
SHP833603,2019-10-08 14:26:50,Rotterdam,Kuala Lumpur,NL,MY,86.6,280.0,0.9,Ocean,Neele-Vat Logistics,20.38079
SHP58584,2019-05-22 15:37:40,Rotterdam,Kuala Lumpur,NL,MY,89.86,289.4,0.9,Ocean,Neele-Vat Logistics,10.87269
SHP577605,2019-12-26 13:03:40,Rotterdam,Kuala Lumpur,NL,MY,94.97,220.0,0.75,Air,NTG Air & Ocean,5.2184
SHP757571,2019-03-07 19:20:34,Rotterdam,Kuala Lumpur,NL,MY,92.92,457.0,1.05,Air,Van den Bosch Transporten,5.07905
SHP342589,2019-06-28 11:14:16,Rotterdam,Kuala Lumpur,NL,MY,87.0,2500.0,0.9,Ocean,Neele-Vat Logistics,9.04352
SHP50607,2020-04-25 14:20:55,Rotterdam,Kuala Lumpur,NL,MY,94.6626,325.0,1.05,Air,Van den Bosch Transporten,5.18854
SHP367576,2019-04-05 03:47:37,Rotterdam,Kuala Lumpur,NL,MY,90.5,555.0,0.9,Ocean,Neele-Vat Logistics,15.94178
SHP522571,2019-03-06 06:57:15,Rotterdam,Kuala Lumpur,NL,MY,92.72,60.0,0.75,Air,NTG Air & Ocean,5.17199
SHP778593,2019-07-27 22:23:59,Rotterdam,Kuala Lumpur,NL,MY,85.49,84.0,0.75,Air,NTG Air & Ocean,5.15451
SHP488605,2019-12-22 00:30:44,Rotterdam,Kuala Lumpur,NL,MY,93.1,1000.0,0.9,Ocean,Neele-Vat Logistics,24.57454
SHP242591,2019-07-11 21:38:17,Rotterdam,Kuala Lumpur,NL,MY,86.45,200.0,0.75,Air,NTG Air & Ocean,5.0841400000000005
SHP1851010,2020-01-09 14:47:44,Rotterdam,Manila,NL,PH,111.98,506.0,1.125,Ocean,Neele-Vat Logistics,6.26516
SHP665605,2019-12-29 13:06:48,Rotterdam,Kuala Lumpur,NL,MY,92.32254558,750.0,0.75,Air,NTG Air & Ocean,5.20104
SHP562606,2020-03-06 20:59:29,Rotterdam,Kuala Lumpur,NL,MY,93.27,176.5,1.05,Air,Van den Bosch Transporten,5.16215
SHP506605,2019-12-22 18:34:20,Rotterdam,Kuala Lumpur,NL,MY,92.91,856.0,1.05,Air,Van den Bosch Transporten,5.087269999999999
SHP59595,2019-08-06 21:24:38,Rotterdam,Kuala Lumpur,NL,MY,85.05,380.0,0.75,Air,NTG Air & Ocean,5.32986
SHP177605,2019-12-10 09:34:18,Rotterdam,Kuala Lumpur,NL,MY,92.45,505.0,0.9,Ocean,Neele-Vat Logistics,28.34931
SHP282593,2019-07-25 09:51:19,Rotterdam,Kuala Lumpur,NL,MY,85.7,3510.0,0.9,Ocean,Neele-Vat Logistics,28.46748
SHP116603,2019-09-23 18:14:18,Rotterdam,Kuala Lumpur,NL,MY,88.33,575.0,0.75,Air,NTG Air & Ocean,5.01956
SHP620607,2020-06-21 18:25:36,Rotterdam,Kuala Lumpur,NL,MY,95.91,900.0,1.05,Air,Van den Bosch Transporten,5.1581
SHP978606,2020-04-19 12:41:00,Rotterdam,Kuala Lumpur,NL,MY,93.8,805.0,1.05,Air,Van den Bosch Transporten,5.41528
SHP557576,2019-04-06 00:01:46,Rotterdam,Kuala Lumpur,NL,MY,90.65,347.0,0.9,Ocean,Neele-Vat Logistics,34.37338
SHP9578,2019-04-14 22:19:03,Rotterdam,Kuala Lumpur,NL,MY,89.8,1698.0,0.9,Ocean,Neele-Vat Logistics,23.66007
SHP173589,2019-06-26 23:54:11,Rotterdam,Kuala Lumpur,NL,MY,87.6,205.0,0.9,Ocean,Neele-Vat Logistics,14.32072
SHP144604,2019-10-21 15:50:27,Rotterdam,Kuala Lumpur,NL,MY,89.4,183.0,0.9,Ocean,Neele-Vat Logistics,10.96146
SHP12606,2020-01-17 16:34:43,Rotterdam,Kuala Lumpur,NL,MY,94.49,300.0,0.75,Air,NTG Air & Ocean,5.24306
SHP723588,2019-06-23 07:04:42,Rotterdam,Kuala Lumpur,NL,MY,88.94,575.0,1.05,Air,Van den Bosch Transporten,5.12153
SHP6941999,2019-07-29 13:53:13,Rotterdam,Manila,NL,PH,105.9,1908.58,0.5625,Ocean,Van den Bosch Transporten,34.814809999999994
SHP827592,2019-07-21 17:45:38,Rotterdam,Kuala Lumpur,NL,MY,85.45,4890.0,0.9,Ocean,Neele-Vat Logistics,31.76134
SHP770571,2019-03-08 08:45:53,Rotterdam,Kuala Lumpur,NL,MY,92.61,755.0,0.75,Air,NTG Air & Ocean,5.239
SHP751604,2019-11-17 12:31:31,Rotterdam,Kuala Lumpur,NL,MY,90.85,155.0,0.9,Ocean,Neele-Vat Logistics,29.57998
SHP816606,2020-03-28 20:33:36,Rotterdam,Kuala Lumpur,NL,MY,85.0,595.0,1.05,Air,Van den Bosch Transporten,5.22083
