"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
"     1 Ceres (A801 AA)",2.766,0.0785,10.59,80.27,73.64,2.549,2.98,4.6,9520,0,1075,60,0,3.56,939.4,"964.4 x 964.2 x 891.8",0.090,9.074170,62.6284,0.713,0.426,,C,G
"     2 Pallas (A802 FA)",2.771,0.2300,34.93,172.92,310.70,2.134,3.41,4.61,79390,0,9025,,,4.24,513,568x532x448,0.155,7.8132214,13.63,0.635,0.284,,B,B
"     3 Juno (A804 RA)",2.669,0.2569,12.99,169.85,247.94,1.983,3.35,4.36,79279,0,7361,,,5.28,246.596,,0.214,7.21,,0.824,0.433,,Sk,S
"     4 Vesta (A807 FA)",2.361,0.0882,7.14,103.80,151.09,2.153,2.57,3.63,25743,0,9451,2977,0,3.40,525.4,"572.6 x 557.2 x 446.4",0.4228,5.34212766,17.288245,0.782,0.492,,V,V
"     5 Astraea (A845 XA)",2.575,0.1901,5.37,141.57,358.74,2.086,3.06,4.13,64243,0,3288,,,6.98,106.699,,0.274,16.806,,0.826,0.411,,S,S
"     6 Hebe (A847 NA)",2.426,0.2031,14.74,138.64,239.51,1.933,2.92,3.78,63293,0,6219,,,5.65,185.18,,0.2679,7.2745,,0.822,0.399,,S,S
"     7 Iris (A847 PA)",2.387,0.2295,5.52,259.53,145.34,1.839,2.93,3.69,63345,0,5281,1,0,5.62,199.83,,0.2766,7.139,,0.855,0.484,,S,S
"    10 Hygiea (A849 GA)",3.142,0.1116,3.83,283.18,312.49,2.791,3.49,5.57,63072,0,3737,,,5.56,407.12,,0.0717,13.828,7.,0.696,0.351,,C,C
"    11 Parthenope (A850 JA)",2.453,0.0995,4.63,125.53,195.60,2.209,2.70,3.84,62569,0,5820,,,6.61,142.887,,0.191,13.7204,,0.837,0.417,,Sk,S
"    12 Victoria (A850 RA)",2.334,0.2207,8.37,235.37,69.67,1.819,2.85,3.57,62566,0,3378,,,7.32,115.087,,0.163,8.6599,,0.874,0.515,,L,S
"    13 Egeria (A850 VA)",2.577,0.0854,16.53,43.21,80.15,2.356,2.80,4.14,62528,0,3024,,,6.85,202.636,,0.049,7.045,,0.745,0.452,,Ch,G
"    14 Irene (A851 KA)",2.586,0.1659,9.12,86.12,97.71,2.157,3.01,4.16,62117,0,3007,,,6.53,152,,0.159,15.028,,0.833,0.388,,S,S
"    15 Eunomia (A851 OA)",2.644,0.1866,11.75,292.93,98.63,2.151,3.14,4.3,62232,0,2726,,,5.41,231.689,,0.248,6.083,,0.839,0.451,,S,S
"    16 Psyche (A852 FA)",2.924,0.1339,3.10,150.03,229.22,2.533,3.32,5,13684,0,2693,,,6.07,226,"279 x 232 x 189",0.1203,4.196,1.53,0.729,0.299,,X,M
